;source;target;weight
0;op6;op5;True
1;sv2;op5;True
2;sv2;op6;True
3;score;score_a;True
4;score;score_p;True
5;score;score_d;True
6;score_a;score_p;True
7;score_a;programa;True
8;score_a;estado;True
9;score_p;op6;True
10;score_p;score_d;True
11;score_p;estado;True
12;score_d;op5;True
13;score_d;sv2;True
14;programa;op6;True
15;programa;estado;True
16;estado;op5;True
17;estado;op6;True
18;estado;sv2;True
