;source;target;weight
0;lt;op3;True
1;lt;sv4;True
2;lt;sv5;True
3;lt;sv6;True
4;tt;final;True
5;pt;tt;True
6;pt;game_score;True
7;op1;op5;True
8;op3;sv3;True
9;op4;op1;True
10;op4;op5;True
11;op6;op2;True
12;sv1;op2;True
13;sv1;op3;True
14;sv1;sv2;True
15;sv2;op1;True
16;sv2;op2;True
17;sv2;op6;True
18;sv2;sv4;True
19;sv2;estado;True
20;sv3;op4;True
21;sv3;op5;True
22;sv3;sv2;True
23;sv3;estado;True
24;sv4;op2;True
25;sv4;op4;True
26;sv4;op6;True
27;sv4;sv5;True
28;sv5;op1;True
29;sv5;op5;True
30;sv6;op1;True
31;sv6;op2;True
32;sv6;op6;True
33;sv6;score_s;True
34;score;score_p;True
35;score;programa;True
36;score_a;op1;True
37;score_a;sv2;True
38;score_a;score;True
39;score_p;op1;True
40;score_p;op2;True
41;score_p;estado;True
42;score_d;op2;True
43;score_d;score_a;True
44;score_d;score_p;True
45;score_s;op1;True
46;score_s;score_a;True
47;score_s;score_d;True
48;programa;estado;True
49;estado;op1;True
50;estado;op2;True
51;estado;op5;True
52;estado;op6;True
53;estado;sv4;True
54;estado;sv5;True
