;source;target;weight
0;lt;sv5;True
1;op1;op5;True
2;op4;op1;True
3;op4;op5;True
4;op5;op6;True
5;op6;sv2;True
6;sv1;op1;True
7;sv1;op6;True
8;sv1;sv2;True
9;sv1;score_a;True
10;sv1;score_d;True
11;sv5;op1;True
12;sv5;op4;True
13;sv5;op5;True
14;sv5;op6;True
15;score;op1;True
16;score;score_p;True
17;score;programa;True
18;score_a;op6;True
19;score_a;score;True
20;score_a;score_d;True
21;score_p;op1;True
22;score_p;op4;True
23;score_p;estado;True
24;score_d;op1;True
25;score_d;score_p;True
26;score_d;score_s;True
27;score_s;op1;True
28;programa;estado;True
29;estado;op1;True
30;estado;op4;True
31;estado;op5;True
32;estado;op6;True
33;estado;sv5;True
